图片名,图片名,分辨率1,分辨率2,相似性检验结果
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1280x768_Similarity.jpg,768x1280,1280x768,0.502269
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_1024x768_Similarity.jpg,768x1280,1024x768,0.590757
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_800x600_Similarity.jpg,768x1280,800x600,0.60257
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_800x480_Similarity.jpg,768x1280,800x480,0.614408
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280_Similarity.jpg,768x1280,768x1280,0.969393
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_720x1280_Similarity.jpg,768x1280,720x1280,0.963871
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_640x480_Similarity.jpg,768x1280,640x480,0.577707
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_480x800_Similarity.jpg,768x1280,480x800,0.910929
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_400x240_Similarity.jpg,768x1280,400x240,0.501513
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_320x240_Similarity.jpg,768x1280,320x240,0.531577
2019-07-27_CahuitaNP_ZH-CN3985565209_768x1280.jpg,2019-07-27_CahuitaNP_ZH-CN3985565209_240x320_Similarity.jpg,768x1280,240x320,0.786547
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1920x1080_Similarity.jpg,768x1280,1920x1080,0.802501
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1366x768_Similarity.jpg,768x1280,1366x768,0.788869
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1280x768_Similarity.jpg,768x1280,1280x768,0.799179
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_1024x768_Similarity.jpg,768x1280,1024x768,0.79009
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_800x600_Similarity.jpg,768x1280,800x600,0.78613
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_800x480_Similarity.jpg,768x1280,800x480,0.790613
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280_Similarity.jpg,768x1280,768x1280,0.966095
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_720x1280_Similarity.jpg,768x1280,720x1280,0.955303
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_640x480_Similarity.jpg,768x1280,640x480,0.78868
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_480x800_Similarity.jpg,768x1280,480x800,0.822803
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_400x240_Similarity.jpg,768x1280,400x240,0.699291
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_320x240_Similarity.jpg,768x1280,320x240,0.662896
2019-07-28_PuffinSkomer_ZH-CN4039641381_768x1280.jpg,2019-07-28_PuffinSkomer_ZH-CN4039641381_240x320_Similarity.jpg,768x1280,240x320,0.715817
2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1920x1080_Similarity.jpg,768x1280,1920x1080,0.867892
2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1366x768_Similarity.jpg,768x1280,1366x768,0.855048
2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1280x768_Similarity.jpg,768x1280,1280x768,0.8447
2019-07-29_TrilliumLake_ZH-CN4079462365_768x1280.jpg,2019-07-29_TrilliumLake_ZH-CN4079462365_1024x768_Similarity.jpg,768x1280,1024x768,0.731194
