图片名,分辨率1,分辨率2,相似性检验结果
TortoiseMigration_ZH-CN4128473636,768x1280,800x600,0.852257
TortoiseMigration_ZH-CN4128473636,768x1280,800x480,0.905013
TortoiseMigration_ZH-CN4128473636,768x1280,768x1280,1
TortoiseMigration_ZH-CN4128473636,768x1280,720x1280,0.998342
TortoiseMigration_ZH-CN4128473636,768x1280,640x480,0.850795
TortoiseMigration_ZH-CN4128473636,768x1280,480x800,0.860414
TortoiseMigration_ZH-CN4128473636,768x1280,400x240,0.881137
TortoiseMigration_ZH-CN4128473636,768x1280,320x240,0.841414
TortoiseMigration_ZH-CN4128473636,768x1280,240x320,0.865758
TreeTower_ZH-CN4181961177,768x1280,1920x1080,0.609781
TreeTower_ZH-CN4181961177,768x1280,1366x768,0.64234
TreeTower_ZH-CN4181961177,768x1280,1280x768,0.681909
TreeTower_ZH-CN4181961177,768x1280,1024x768,0.690201
TreeTower_ZH-CN4181961177,768x1280,800x600,0.754766
TreeTower_ZH-CN4181961177,768x1280,800x480,0.698596
TreeTower_ZH-CN4181961177,768x1280,768x1280,1
TreeTower_ZH-CN4181961177,768x1280,720x1280,0.996799
TreeTower_ZH-CN4181961177,768x1280,640x480,0.778905
TreeTower_ZH-CN4181961177,768x1280,480x800,0.98046
TreeTower_ZH-CN4181961177,768x1280,400x240,0.750115
TreeTower_ZH-CN4181961177,768x1280,320x240,0.813448
TreeTower_ZH-CN4181961177,768x1280,240x320,0.950313
LavaFlows_ZH-CN4235925500,768x1280,1920x1080,0.687237
LavaFlows_ZH-CN4235925500,768x1280,1366x768,0.68182
LavaFlows_ZH-CN4235925500,768x1280,1280x768,0.678345
LavaFlows_ZH-CN4235925500,768x1280,1024x768,0.688299
LavaFlows_ZH-CN4235925500,768x1280,800x600,0.678836
LavaFlows_ZH-CN4235925500,768x1280,800x480,0.832363
LavaFlows_ZH-CN4235925500,768x1280,768x1280,1
LavaFlows_ZH-CN4235925500,768x1280,720x1280,0.998971
LavaFlows_ZH-CN4235925500,768x1280,640x480,0.679364
LavaFlows_ZH-CN4235925500,768x1280,480x800,0.824305
LavaFlows_ZH-CN4235925500,768x1280,400x240,0.793424
LavaFlows_ZH-CN4235925500,768x1280,320x240,0.669366
LavaFlows_ZH-CN4235925500,768x1280,240x320,0.964714
CrummockWater_ZH-CN9317792500,768x1280,1920x1080,0.945168
CrummockWater_ZH-CN9317792500,768x1280,1366x768,0.937382
CrummockWater_ZH-CN9317792500,768x1280,1280x768,0.941816
CrummockWater_ZH-CN9317792500,768x1280,1024x768,0.935739
CrummockWater_ZH-CN9317792500,768x1280,800x600,0.940536
CrummockWater_ZH-CN9317792500,768x1280,800x480,0.926806
CrummockWater_ZH-CN9317792500,768x1280,768x1280,1
CrummockWater_ZH-CN9317792500,768x1280,720x1280,0.995855
CrummockWater_ZH-CN9317792500,768x1280,640x480,0.93819
CrummockWater_ZH-CN9317792500,768x1280,480x800,0.919062
