图片1名,图片2名,分辨率,相似性检验结果
2019-07-24_MeerkatMob_ZH-CN3788674757_800x480.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_800x480_Similarity.jpg,800x480,0.976285
2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_768x1280_Similarity.jpg,768x1280,0.987004
2019-07-24_MeerkatMob_ZH-CN3788674757_720x1280.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_720x1280_Similarity.jpg,720x1280,0.985581
2019-07-24_MeerkatMob_ZH-CN3788674757_640x480.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_640x480_Similarity.jpg,640x480,0.960799
2019-07-24_MeerkatMob_ZH-CN3788674757_480x800.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_480x800_Similarity.jpg,480x800,0.970887
2019-07-24_MeerkatMob_ZH-CN3788674757_400x240.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_400x240_Similarity.jpg,400x240,0.898947
2019-07-24_MeerkatMob_ZH-CN3788674757_320x240.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_320x240_Similarity.jpg,320x240,0.843086
2019-07-24_MeerkatMob_ZH-CN3788674757_240x320.jpg,2019-07-24_MeerkatMob_ZH-CN3788674757_240x320_Similarity.jpg,240x320,0.899386
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1366x768.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1366x768_Similarity.jpg,1366x768,0.956057
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1280x768.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1280x768_Similarity.jpg,1280x768,0.97233
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1024x768.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_1024x768_Similarity.jpg,1024x768,0.950621
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x600.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x600_Similarity.jpg,800x600,0.955689
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x480.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_800x480_Similarity.jpg,800x480,0.93762
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_768x1280_Similarity.jpg,768x1280,0.964995
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_720x1280.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_720x1280_Similarity.jpg,720x1280,0.966115
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_640x480.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_640x480_Similarity.jpg,640x480,0.929063
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_480x800.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_480x800_Similarity.jpg,480x800,0.911306
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_400x240.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_400x240_Similarity.jpg,400x240,0.850778
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_320x240.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_320x240_Similarity.jpg,320x240,0.85268
2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_240x320.jpg,2019-07-25_CathedralMountBuffalo_ZH-CN4341947983_240x320_Similarity.jpg,240x320,0.829977
2019-07-26_ElkFallsBridge_ZH-CN3921681387_1366x768.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_1366x768_Similarity.jpg,1366x768,0.988957
2019-07-26_ElkFallsBridge_ZH-CN3921681387_1280x768.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_1280x768_Similarity.jpg,1280x768,0.986859
2019-07-26_ElkFallsBridge_ZH-CN3921681387_1024x768.jpg,2019-07-26_ElkFallsBridge_ZH-CN3921681387_1024x768_Similarity.jpg,1024x768,0.975244
